CourseDefinitionID,AbbrTitle,CourseCode,CourseFactor,EqCreditValue,ExtractToWeb,MaxEnrolments,MinEnrolments,Stage,StartDate,EndDate,CourseTitle,CostCategoryID,DeliveryModeID,EducationInstituteID,NZSCEDCategoryID,ProgrammeIDOwning,SourceOfFundingID,CourseDefinitionStatusID,CourseDefinitionSubstatusID,CourseDesc,OrgUnitIDOwning,IsThesisCourse
53,NULL,LAWS349,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Computers and the Law,5,4,1,113,85,1,3,1,"An introduction to the use of computers in law and the legal problems of computer technology; data protection and privacy; legal practice systems and information retrieval systems; computer crimes, torts, and evidence.",10073,0
54,NULL,LAWS350,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Competition Law,5,4,1,113,85,1,3,1,The Law regulating or promoting competition in the New Zealand economy.,10073,0
55,NULL,LAWS351,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2008-12-31 00:00:00,Law and Sport,5,4,1,113,85,1,3,1,A study of the main principles of law affecting amateur and professional sporting activity.,10073,0
56,NULL,LAWS352,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2008-12-31 00:00:00,Selected Issues in Taxation,5,4,1,111,85,1,3,1,"An introduction to the law relating to income and other taxes, estate duty, estate planning and tax planning.",10073,0
57,NULL,LAWS353,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2008-12-31 00:00:00,Introduction To Comparative Law,5,4,1,113,85,1,3,2,An introduction to the theory and purpose of comparative law.,10073,0
58,NULL,LAWS354,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Judicial Review,5,4,1,106,85,1,3,1,The principles used by the courts to control the exercise of public power.,10073,0
59,NULL,LAWS355,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2007-12-31 00:00:00,Special Topic: European Union Law,5,4,1,110,85,1,3,1,"The purpose of this course is to provide students with an understanding of the EU legal system and associated issues, including the institutional structure of the EU; EU lawmaking and judicial control of Union legislation; free movement of goods, persons and services; EU intellectual property law; European criminal law; protection of human rights in the EU; freedom of expression in the EU; environmental protection in the EU; the EU in the world trading system; and implications of the EU for the nation state.",10073,0
60,NULL,LAWS359,0.0917,11,1,24,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Trial Advocacy,5,4,1,112,85,1,3,1,Theory and practice of trial advocacy.,10073,0
61,NULL,LAWS360,0.107,12,1,0,0,3,2005-01-01 00:00:00,2005-12-31 00:00:00,Legal Theory,5,4,1,113,85,1,3,1,The course involves a study of various modern theories about law from both a descriptive and critical perspective.,10073,0
62,NULL,LAWS360,0.0917,11,1,0,0,3,2006-01-01 00:00:00,2010-12-31 00:00:00,Jurisprudence,5,4,1,113,85,1,3,1,The course involves a study of various modern theories about law from both a descriptive and critical perspective.,10073,0
